2397195991,-125.938 -123.500
2397211581,-126.000 -122.938
2397227171,-125.500 -123.000
2397242762,-126.938 -123.938
2397258352,-127.000 -123.000
2397273942,-125.500 -123.438
2397289532,-124.500 -122.938
2397305122,-127.438 -121.938
2397320713,-125.000 -122.500
2397336303,-125.938 -121.000
2397351893,-122.938 -121.438
2397367483,-123.000 -122.000
2397383073,-124.438 -120.938
2397398664,-124.438 -121.000
2397414254,-123.438 -121.000
2397429844,-124.000 -120.938
2397445434,-123.500 -121.438
2397461024,-122.438 -120.000
2397476615,-123.438 -120.000
2397492205,-125.438 -119.438
2397507795,-123.500 -118.438
2397523385,-122.000 -118.000
2397538976,-105.438 -97.938
2397554566,-98.000 -97.938
2397570156,-118.938 -118.500
2397585746,-122.000 -117.938
2397601336,-124.500 -116.500
2397616927,-121.000 -117.500
2397632517,-120.000 -117.500
2397648107,-122.500 -116.938
2397663697,-121.938 -117.938
2397679287,-119.938 -117.438
2397694878,-120.000 -117.438
2397710468,-123.500 -117.438
2397726058,-122.000 -118.500
2397741648,-119.938 -118.500
2397757238,-119.000 -117.438
2397772829,-121.938 -118.438
2397788419,-123.438 -118.438
2397804009,-119.500 -118.500
2397819599,-123.938 -118.438
2397835189,-122.000 -119.000
2397850780,-123.938 -118.438
2397866370,-121.438 -118.438
2397881960,-122.438 -119.000
2397897550,-121.938 -118.500
2397913140,-125.000 -119.000
2397928731,-125.500 -120.438
2397944321,-123.500 -118.000
2397959911,-124.000 -120.938
2397975501,-123.500 -120.438
2397991091,-124.000 -119.938
2398006682,-123.500 -117.500
2398022272,-125.438 -120.000
2398037862,-121.938 -120.500
2398053452,-102.438 -98.938
2398069042,-103.438 -98.938
2398084633,-127.500 -119.438
2398100223,-125.500 -121.438
2398115813,-127.000 -122.000
2398131403,-126.000 -120.938
2398146993,-124.438 -122.500
2398162584,-126.438 -121.500
2398178174,-124.500 -121.438
2398193764,-126.500 -121.438
2398209354,-127.438 -121.938
2398224944,-125.000 -122.438
2398240535,-124.438 -122.438
2398256125,-129.000 -122.000
2398271715,-122.938 -122.500
2398287305,-127.000 -122.500
2398302895,-124.500 -122.938
2398318486,-127.500 -123.500
2398334076,-124.500 -123.438
2398349666,-124.000 -121.500
2398365256,-127.438 -121.938
2398380846,-124.000 -123.000
2398396437,-126.438 -121.938
2398412027,-123.500 -121.938
2398427617,-125.000 -121.500
2398443207,-123.438 -121.938
2398458797,-123.000 -120.938
2398474388,-123.438 -121.938
2398489978,-123.938 -120.438
2398505568,-122.500 -118.000
2398521158,-120.500 -118.938
2398536748,-118.000 -117.438
2398552339,-119.500 -112.000
2398567929,-99.000 -95.438
2398583519,-103.438 -100.000
2398599109,-120.438 -115.500
2398614699,-122.938 -117.000
2398630290,-122.500 -118.438
2398645880,-120.000 -115.500
2398661470,-122.938 -118.438
2398677060,-121.938 -115.938
2398692650,-121.500 -118.438
2398708241,-118.438 -116.500
2398723831,-120.500 -118.000
2398739421,-123.938 -117.938
2398755011,-120.000 -118.000
2398770601,-118.938 -116.500
2398786192,-119.938 -114.500
2398801782,-123.438 -117.000
2398817372,-120.500 -116.938
2398832962,-120.938 -117.438
2398848552,-120.000 -114.938
2398864143,-121.000 -115.938
2398879733,-121.500 -116.438
2398895323,-120.438 -117.438
2398910913,-121.438 -116.438
2398926503,-120.938 -117.000
2398942094,-120.938 -118.000
2398957684,-121.438 -117.438
2398973274,-123.500 -117.500
2398988864,-122.938 -118.500
2399004454,-121.000 -117.938
2399020045,-125.938 -118.000
2399035635,-123.938 -118.500
2399051225,-124.000 -118.938
2399066815,-122.938 -119.500
2399082405,-121.000 -118.938
2399097996,-125.438 -120.000
2399113586,-123.000 -119.500
2399129176,-122.938 -119.500
2399144766,-121.500 -119.938
2399160356,-126.000 -120.938
2399175947,-125.500 -120.938
2399191537,-126.938 -121.438
2399207127,-123.000 -121.938
2399222717,-124.000 -121.000
2399238307,-122.938 -120.938
2399253898,-127.438 -122.438
2399269488,-125.000 -121.000
2399285078,-127.438 -121.438
2399300668,-124.438 -119.500
2399316258,-124.500 -122.438
2399331849,-122.938 -122.500
2399347439,-124.500 -122.938
2399363029,-127.438 -122.000
2399378619,-122.500 -122.438
2399394209,-124.500 -122.938
2399409800,-125.500 -122.000
2399425390,-127.000 -122.438
2399440980,-127.938 -121.000
2399456570,-126.000 -122.500
2399472160,-127.438 -123.438
2399487751,-125.500 -123.000
2399503341,-128.438 -123.000
2399518931,-128.938 -122.938
2399534521,-128.438 -123.438
2399550111,-127.500 -122.438
2399565702,-123.938 -121.938
2399581292,-115.500 -109.000
2399596882,-111.438 -105.438
2399612472,-126.000 -120.438
2399628062,-126.438 -120.438
2399643653,-126.000 -122.500
2399659243,-127.438 -122.438
2399674833,-127.438 -122.000
2399690423,-124.438 -122.000
2399706013,-128.000 -120.938
2399721604,-125.438 -120.438
2399737194,-128.000 -122.438
2399752784,-123.438 -122.000
2399768374,-127.938 -123.000
2399783964,-126.938 -121.938
2399799555,-127.500 -121.938
2399815145,-126.438 -122.438
2399830735,-123.000 -120.500
2399846325,-130.500 -120.000
2399861915,-125.938 -121.000
2399877506,-126.500 -121.938
2399893096,-125.438 -123.000
2399908686,-126.438 -121.500
2399924276,-125.938 -121.500
2399939866,-121.500 -121.500
2399955457,-127.938 -122.438
2399971047,-126.938 -121.500
2399986637,-124.938 -122.000
2400002227,-123.438 -121.938
